,height,width
0,192.0,1024.0
1,192.0,1024.0
2,256.0,790.0
3,192.0,1024.0
4,192.0,1024.0
5,128.0,878.0
6,256.0,2196.0
7,256.0,790.0
8,192.0,1024.0
9,192.0,1024.0
10,192.0,1024.0
11,192.0,1024.0
12,192.0,1024.0
13,192.0,1024.0
14,192.0,1024.0
15,192.0,1024.0
16,192.0,1024.0
17,128.0,878.0
18,256.0,790.0
19,192.0,1024.0
20,256.0,2196.0
21,192.0,1024.0
22,256.0,1054.0
23,192.0,1024.0
24,192.0,1024.0
25,128.0,878.0
26,192.0,1024.0
27,192.0,1024.0
28,192.0,1024.0
29,192.0,1024.0
30,256.0,790.0
31,192.0,1024.0
32,192.0,1024.0
33,256.0,1054.0
34,192.0,1024.0
35,192.0,1024.0
36,256.0,790.0
37,192.0,1024.0
38,192.0,1024.0
39,192.0,1024.0
40,192.0,1024.0
41,192.0,1024.0
42,256.0,2196.0
43,192.0,1024.0
44,192.0,1024.0
45,256.0,790.0
46,192.0,1024.0
47,192.0,1024.0
48,192.0,1024.0
49,192.0,1024.0
50,192.0,1024.0
51,192.0,1024.0
52,192.0,1024.0
53,192.0,1024.0
54,256.0,1054.0
55,192.0,1024.0
56,192.0,1024.0
57,192.0,1024.0
58,192.0,1024.0
59,192.0,1024.0
60,192.0,1024.0
61,192.0,1024.0
62,192.0,1024.0
63,256.0,790.0
64,192.0,1024.0
65,192.0,1024.0
66,192.0,1024.0
67,192.0,1024.0
68,192.0,1024.0
69,192.0,1024.0
70,192.0,1024.0
71,192.0,1024.0
72,192.0,1024.0
73,192.0,1024.0
74,192.0,1024.0
75,192.0,1024.0
76,192.0,1024.0
77,192.0,1024.0
78,192.0,1024.0
79,256.0,2196.0
80,128.0,878.0
81,192.0,1024.0
82,256.0,2196.0
83,192.0,1024.0
84,192.0,1024.0
85,192.0,1024.0
86,256.0,1054.0
87,192.0,1024.0
88,256.0,790.0
89,192.0,1024.0
90,256.0,790.0
91,192.0,1024.0
92,192.0,1024.0
93,192.0,1024.0
94,192.0,1024.0
95,192.0,1024.0
